,Unnamed: 0,heading,website,code,status
72,2,Inter-Wohnungen UG (haftungsbeschränkt),http://www.inter-wohnungen.de,200.0,OK
73,3,Interlodge© UG (haftungsbeschränkt),http://www.interlodge.info,200.0,OK
74,4,Karisma Immobilienservice,http://www.karisma-is.de,200.0,OK
75,5,Karl Hupe Stiftung Wohnungsunternehmen,http://www.karl-hupe-stiftung.de,200.0,OK
76,6,Knoblauch Immobilien,http://www.knoblauch-immobilien.de,200.0,OK
77,7,M+W Immobiliengesellschaft mbH,http://www.mwimmobilien.de,200.0,OK
78,8,Manske und de Vries GbR,http://www.manskedevries.de,200.0,OK
79,9,pantera Living Köln GmbH,http://www.nrw-sothebysrealty.com,200.0,OK
80,0,RKI Verwaltungsgesellschaft mbH,http://www.rki-essen.de,200.0,OK
81,1,RUHR IMMOBILIEN GMBH Immobilienmakler,http://www.ruhr.info,200.0,OK
82,2,"Schwab, Klaus Immobilien RDM",http://www.schwab-immobilien.de,200.0,OK
83,3,Thelen Holding GmbH,http://www.thelen-gruppe.de,200.0,OK
84,4,Thelen Holding GmbH,http://www.thelen-gruppe.de,200.0,OK
85,5,Thelen Immobilien Management GmbH,http://www.thelen-gruppe.de,200.0,OK
86,6,Tschangizian Cora Tschangizian Homestaging,http://www.tschangizian-homestaging.de,200.0,OK
87,7,acasa GmbH Immobilienprojektentwicklung,http://www.bauinform-essen.de,404.0,Not Found
88,8,Alexanderpark GmbH,http://www.alexanderpark.de,200.0,OK
89,9,ASSR Immobilien GmbH,http://www.realestateonet.com,406.0,OK
90,0,B & B Immobilien GmbH,http://www.db-bau.de,200.0,OK
91,1,Becker Jutta,http://www.jb-e.de,200.0,OK
92,2,Birken Immobilien Immobilienmaklerin,http://www.birken-immobilien.de,200.0,OK
93,3,Boehler Immobilien GmbH,http://www.boehler-gruppe.de,200.0,OK
94,4,Brinkmann H. Immobilen,http://www.immobilien-brinkmann.de,200.0,OK
95,5,Broghammer Bernd Dipl.-Ing. (FH),http://www.intectura.de,404.0,Not Found
96,6,Budde-Immobilien David Marvin Budde,http://www.immobilien-budde.de,200.0,OK
97,7,"Convido Immobilien, Inh. Tim Förster",http://www.convido.immobilien,200.0,OK
